<monster=Abhorrent Eater><element=Slash><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Abyssal Shadow><element=Slash><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Accursed Miner><element=Fire><vuln=0><yield=0><imp=0><priority=1><enabled=1>
<monster=Acidic Coral Golem><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Acidic Diamond Golem><element=Lightning><vuln=1><yield=0><imp=0><priority=2><enabled=1>
<monster=Adolescent Ash Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Azure Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Ivory Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adolescent Rust Gromnie><element=Slash><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adroth Salson><element=Pierce><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Adult Reedshark><element=Acid><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Aerbax's Apprentice><element=Fire><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Affliction Wisp><element=Pierce><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Alfrega the Reedshark><element=Acid><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Altered Drudge><element=Slash><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Altered Olthoi><element=Bludgeon><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Amethyst Gromnie><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Amploth Lugian><element=Lightning><vuln=1><yield=0><imp=0><priority=1><enabled=1>
<monster=Amploth Raider><element=Lightning><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Ancient Coral Golem><element=Bludgeon><vuln=1><yield=1><imp=1><priority=0><enabled=1>
<monster=Ancient Diamond Golem><element=Bludgeon><vuln=1><yield=1><imp=1><priority=1><enabled=1>
<monster=Ancient Mu-miyah><element=Fire><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Anger><element=Slash><vuln=1><yield=0><imp=1><priority=1><enabled=1>
<monster=Annihilator><element=Fire><vuln=1><yield=1><imp=1><priority=0><enabled=1>
