<id=1><spl=Strength Other I>
<id=2><spl=Strength Self I>
<id=3><spl=Weakness Other I>
<id=4><spl=Weakness Self I>
<id=5><spl=Heal Other I>
<id=6><spl=Heal Self I>
<id=7><spl=Harm Other I>
<id=8><spl=Harm Self I>
<id=9><spl=Infuse Mana Other I>
<id=15><spl=Vulnerability Other I>
<id=16><spl=Vulnerability Self I>
<id=17><spl=Invulnerability Other I>
<id=18><spl=Invulnerability Self I>
<id=19><spl=Fire Protection Other I>
<id=20><spl=Fire Protection Self I>
<id=21><spl=Fire Vulnerability Other I>
<id=22><spl=Fire Vulnerability Self I>
<id=23><spl=Armor Other I>
 <id=24><spl=Armor Self I>
 <id=25><spl=Imperil Other I>
 <id=26><spl=Imperil Self I>
 <id=27><spl=Flame Bolt I>
 <id=28><spl=Frost Bolt I>
 <id=35><spl=Blood Drinker I>
 <id=36><spl=Blood Loather I>
 <id=37><spl=Blade Bane I>
 <id=38><spl=Blade Lure I>
 <id=47><spl=Primary Portal Tie>
 <id=48><spl=Primary Portal Recall>
 <id=49><spl=Swift Killer I>
 <id=50><spl=Leaden Weapon I>
 <id=51><spl=Impenetrability I>
 <id=53><spl=Rejuvenation Other I>
 <id=54><spl=Rejuvenation Self I>
 <id=57><spl=Magic Bolt>
 <id=58><spl=Acid Stream I>
 <id=59><spl=Acid Stream II>
 <id=60><spl=Acid Stream III>
 <id=61><spl=Acid Stream IV>
 <id=62><spl=Acid Stream V>
 <id=63><spl=Acid Stream VI>
 <id=64><spl=Shock Wave I>
 <id=65><spl=Shock Wave II>
 <id=66><spl=Shock Wave III>
 <id=67><spl=Shock Wave IV>
 <id=68><spl=Shock Wave V>
 <id=69><spl=Shock Wave VI>
 <id=70><spl=Frost Bolt II>
 <id=71><spl=Frost Bolt III>
 <id=72><spl=Frost Bolt IV>
 <id=73><spl=Frost Bolt V>
 <id=74><spl=Frost Bolt VI>
 <id=75><spl=Lightning Bolt I>
 <id=76><spl=Lightning Bolt II>
