<spl=Fire Vulnerability Other I><type=8><family=Fire Vulnerability Other><sch=0><lvl=1><elemt=3><id=21><icon=100668291><desc=Increases damage the target takes from Fire by 10%.>
<spl=Fire Vulnerability Other II><type=8><family=Fire Vulnerability Other><sch=0><lvl=2><elemt=3><id=1104><icon=100668291><desc=Increases damage the target takes from Fire by 25%.>
<spl=Fire Vulnerability Other III><type=8><family=Fire Vulnerability Other><sch=0><lvl=3><elemt=3><id=1105><icon=100668291><desc=Increases damage the target takes from Fire by 50%.>
<spl=Fire Vulnerability Other IV><type=8><family=Fire Vulnerability Other><sch=0><lvl=4><elemt=3><id=1106><icon=100668291><desc=Increases damage the target takes from Fire by 75%.>
<spl=Fire Vulnerability Other V><type=8><family=Fire Vulnerability Other><sch=0><lvl=5><elemt=3><id=1107><icon=100668291><desc=Increases damage the target takes from Fire by 100%.>
<spl=Fire Vulnerability Other VI><type=8><family=Fire Vulnerability Other><sch=0><lvl=6><elemt=3><id=1108><icon=100668291><desc=Increases damage the target takes from Fire by 150%.>
<spl=Inferno's Gift><type=8><family=Fire Vulnerability Other><sch=0><lvl=7><elemt=3><id=2170><icon=100668291><desc=Increases damage the target takes from Fire by 185%.>
<spl=Acid Vulnerability Other I><type=8><family=Acid Vulnerability Other><sch=0><lvl=1><elemt=5><id=521><icon=100668344><desc=Increases damage the target takes from acid by 10%>
<spl=Acid Vulnerability Other II><type=8><family=Acid Vulnerability Other><sch=0><lvl=2><elemt=5><id=522><icon=100668344><desc=Increases damage the target takes from acid by 25%>
<spl=Acid Vulnerability Other III><type=8><family=Acid Vulnerability Other><sch=0><lvl=3><elemt=5><id=523><icon=100668344><desc=Increases damage the target takes from acid by 50%.>
<spl=Acid Vulnerability Other IV><type=8><family=Acid Vulnerability Other><sch=0><lvl=4><elemt=5><id=524><icon=100668344><desc=Increases damage the target takes from acid by 75%.>
<spl=Acid Vulnerability Other V><type=8><family=Acid Vulnerability Other><sch=0><lvl=5><elemt=5><id=525><icon=100668344><desc=Increases damage the target takes from acid by 100%.>
<spl=Acid Vulnerability Other VI><type=8><family=Acid Vulnerability Other><sch=0><lvl=6><elemt=5><id=526><icon=100668344><desc=Increases damage the target takes from acid by 150%.>
<spl=Olthoi's Gift><type=8><family=Acid Vulnerability Other><sch=0><lvl=7><elemt=5><id=2162><icon=100668344><desc=Increases damage the target takes from acid by 185%.>
<spl=Bludgeoning Vulnerability Other I><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=1><elemt=1><id=1048><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 10%.>
<spl=Bludgeoning Vulnerability Other II><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=2><elemt=1><id=1049><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 25%.>
<spl=Bludgeoning Vulnerability Other III><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=3><elemt=1><id=1050><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 50%.>
<spl=Bludgeoning Vulnerability Other IV><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=4><elemt=1><id=1051><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 75%.>
<spl=Bludgeoning Vulnerability Other V><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=5><elemt=1><id=1052><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 100%.>
<spl=Bludgeoning Vulnerability Other VI><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=6><elemt=1><id=1053><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 150%.>
<spl=Tusker's Gift><type=8><family=Bludgeoning Vulnerability Other><sch=0><lvl=7><elemt=1><id=2166><icon=100668345><desc=Increases damage the target takes from Bludgeoning by 185%.>
<spl=Cold Vulnerability Other I><type=8><family=Cold Vulnerability Other><sch=0><lvl=1><elemt=4><id=1060><icon=100668292><desc=Increases damage the target takes from Cold by 10%.>
<spl=Cold Vulnerability Other II><type=8><family=Cold Vulnerability Other><sch=0><lvl=2><elemt=4><id=1061><icon=100668292><desc=Increases damage the target takes from Cold by 25%.>
<spl=Cold Vulnerability Other III><type=8><family=Cold Vulnerability Other><sch=0><lvl=3><elemt=4><id=1062><icon=100668292><desc=Increases damage the target takes from Cold by 50%.>
<spl=Cold Vulnerability Other IV><type=8><family=Cold Vulnerability Other><sch=0><lvl=4><elemt=4><id=1063><icon=100668292><desc=Increases damage the target takes from Cold by 75%.>
<spl=Cold Vulnerability Other V><type=8><family=Cold Vulnerability Other><sch=0><lvl=5><elemt=4><id=1064><icon=100668292><desc=Increases damage the target takes from Cold by 100%.>
<spl=Cold Vulnerability Other VI><type=8><family=Cold Vulnerability Other><sch=0><lvl=6><elemt=4><id=1065><icon=100668292><desc=Increases damage the target takes from Cold by 150%.>
<spl=Gelidite's Gift><type=8><family=Cold Vulnerability Other><sch=0><lvl=7><elemt=4><id=2168><icon=100668292><desc=Increases damage the target takes from Cold by 185%.>
